store_id,store_name,city,state,country
1,Kelly and Sons,Reneeburgh,North Dakota,Zimbabwe
2,Davis PLC,Port Ericside,Connecticut,Andorra
3,Williams-Allen,Mauricefort,New Hampshire,Tajikistan
4,Cole PLC,Nunezbury,New Mexico,Nauru
5,Thompson-Nelson,Deniseshire,New York,Gabon
6,"Baker, Hicks and Floyd",Andrewchester,Florida,Turks and Caicos Islands
7,"Juarez, Harris and Fields",Jessicastad,South Dakota,Pitcairn Islands
8,"Bates, Gardner and Barber",Lake Donna,North Carolina,Armenia
9,Pena PLC,West Wayne,Missouri,Tajikistan
10,"Harris, Simmons and Rodriguez",Johnsontown,Delaware,Lithuania
11,"Jackson, Bryant and Jensen",South Jessica,New Mexico,Papua New Guinea
12,Cobb-Little,Valerietown,Texas,Ireland
13,"Nichols, Rose and Patterson",Port Adamport,South Dakota,Georgia
14,Zimmerman PLC,New Kathy,Illinois,Maldives
15,Briggs-Wilson,Thomastown,Texas,Guam
16,Buckley Inc,New Michaelshire,Kansas,Norway
17,Hill-Hicks,New David,New Jersey,Djibouti
18,Foster Inc,Johnsonport,New Hampshire,Nicaragua
19,Cortez-Rasmussen,West Kenneth,Connecticut,British Virgin Islands
20,"Wilson, Carr and Miller",South Brandon,Arkansas,Equatorial Guinea
